dong,longitude,latitude,label
Gaebong-dong,126.854547,37.489853,Gangseo
Gochuk-dong,126.859245,37.501394,Gangseo
Hwagok-dong,126.847951,37.537759,Gangseo
Banghwa-dong,126.815719,37.575817,Gangseo
Sangam-dong,126.89162,37.577039,Gangseo
Nonhyun-dong,127.03072,37.508838,Gangnam
Daechi-dong,127.057193,37.501163,Gangnam
Seocho-dong,127.018281,37.486401,Gangnam
Bangbae-dong,126.988194,37.483279,Gangnam
Dogok-dong,127.043159,37.492896,Gangnam
Pyoungchang-dong,126.975724,37.612129,Gangbuk
Sungbuk-dong,126.998067,37.597916,Gangbuk
Ssangmoon-dong,127.030421,37.648094,Gangbuk
Ui-dong,127.011396,37.648446,Gangbuk
Samcheong-dong,126.980488,37.591109,Gangbuk
Hwayang-dong,127.071648,37.544234,Gangdong
Gui-dong,127.086803,37.543757,Gangdong
Neung-dong,127.080248,37.553102,Gangdong
Amsa-dong,127.127124,37.55237,Gangdong
Chunho-dong,127.137382,37.547436,Gangdong
